Nome: Abadia de Goiás, EstadoID: 9, CodigoIBGE: 5200050
Nome: Abadia dos Dourados, EstadoID: 13, CodigoIBGE: 3100104
Nome: Abadiânia, EstadoID: 9, CodigoIBGE: 5200100
Nome: Abaeté, EstadoID: 13, CodigoIBGE: 3100203
Nome: Abaetetuba, EstadoID: 14, CodigoIBGE: 1500107
Nome: Abaiara, EstadoID: 6, CodigoIBGE: 2300101
Nome: Abaíra, EstadoID: 5, CodigoIBGE: 2900108
Nome: Abaré, EstadoID: 5, CodigoIBGE: 2900207
Nome: Abatiá, EstadoID: 16, CodigoIBGE: 4100103
Nome: Abdon Batista, EstadoID: 24, CodigoIBGE: 4200051
Nome: Abel Figueiredo, EstadoID: 14, CodigoIBGE: 1500131
Nome: Abelardo Luz, EstadoID: 24, CodigoIBGE: 4200101
Nome: Abre Campo, EstadoID: 13, CodigoIBGE: 3100302
Nome: Abreu e Lima, EstadoID: 17, CodigoIBGE: 2600054
Nome: Abreulândia, EstadoID: 27, CodigoIBGE: 1700251
Nome: Acaiaca, EstadoID: 13, CodigoIBGE: 3100401
Nome: Açailândia, EstadoID: 10, CodigoIBGE: 2100055
Nome: Acajutiba, EstadoID: 5, CodigoIBGE: 2900306
Nome: Acará, EstadoID: 14, CodigoIBGE: 1500206
Nome: Acarape, EstadoID: 6, CodigoIBGE: 2300150
Nome: Acaraú, EstadoID: 6, CodigoIBGE: 2300200
Nome: Acari, EstadoID: 20, CodigoIBGE: 2400109
Nome: Acauã, EstadoID: 18, CodigoIBGE: 2200053
Nome: Aceguá, EstadoID: 21, CodigoIBGE: 4300034
Nome: Acopiara, EstadoID: 6, CodigoIBGE: 2300309
Nome: Acorizal, EstadoID: 11, CodigoIBGE: 5100102
Nome: Acrelândia, EstadoID: 1, CodigoIBGE: 1200013
Nome: Acreúna, EstadoID: 9, CodigoIBGE: 5200134
Nome: Açu, EstadoID: 20, CodigoIBGE: 2400208
Nome: Açucena, EstadoID: 13, CodigoIBGE: 3100500
Nome: Adamantina, EstadoID: 25, CodigoIBGE: 3500105
Nome: Adelândia, EstadoID: 9, CodigoIBGE: 5200159
Nome: Adolfo, EstadoID: 25, CodigoIBGE: 3500204
Nome: Adrianópolis, EstadoID: 16, CodigoIBGE: 4100202
Nome: Adustina, EstadoID: 5, CodigoIBGE: 2900355
Nome: Afogados da Ingazeira, EstadoID: 17, CodigoIBGE: 2600104
Nome: Afonso Bezerra, EstadoID: 20, CodigoIBGE: 2400307
Nome: Afonso Cláudio, EstadoID: 8, CodigoIBGE: 3200102
Nome: Afonso Cunha, EstadoID: 10, CodigoIBGE: 2100105
Nome: Afrânio, EstadoID: 17, CodigoIBGE: 2600203
Nome: Afuá, EstadoID: 14, CodigoIBGE: 1500305
Nome: Agrestina, EstadoID: 17, CodigoIBGE: 2600302
Nome: Agricolândia, EstadoID: 18, CodigoIBGE: 2200103
Nome: Agrolândia, EstadoID: 24, CodigoIBGE: 4200200
Nome: Agronômica, EstadoID: 24, CodigoIBGE: 4200309
Nome: Água Azul do Norte, EstadoID: 14, CodigoIBGE: 1500347
Nome: Água Boa, EstadoID: 13, CodigoIBGE: 3100609
Nome: Água Boa, EstadoID: 11, CodigoIBGE: 5100201
Nome: Água Branca, EstadoID: 18, CodigoIBGE: 2200202
Nome: Água Branca, EstadoID: 15, CodigoIBGE: 2500106
Nome: Água Branca, EstadoID: 2, CodigoIBGE: 2700102
Nome: Água Clara, EstadoID: 12, CodigoIBGE: 5000203
Nome: Água Comprida, EstadoID: 13, CodigoIBGE: 3100708
Nome: Água Doce, EstadoID: 24, CodigoIBGE: 4200408
Nome: Água Doce do Maranhão, EstadoID: 10, CodigoIBGE: 2100154
Nome: Água Doce do Norte, EstadoID: 8, CodigoIBGE: 3200169
Nome: Água Fria, EstadoID: 5, CodigoIBGE: 2900405
Nome: Água Fria de Goiás, EstadoID: 9, CodigoIBGE: 5200175
Nome: Água Limpa, EstadoID: 9, CodigoIBGE: 5200209
Nome: Água Nova, EstadoID: 20, CodigoIBGE: 2400406
Nome: Água Preta, EstadoID: 17, CodigoIBGE: 2600401
Nome: Água Santa, EstadoID: 21, CodigoIBGE: 4300059
Nome: Aguaí, EstadoID: 25, CodigoIBGE: 3500303
Nome: Aguanil, EstadoID: 13, CodigoIBGE: 3100807
Nome: Águas Belas, EstadoID: 17, CodigoIBGE: 2600500
Nome: Águas da Prata, EstadoID: 25, CodigoIBGE: 3500402
Nome: Águas de Chapecó, EstadoID: 24, CodigoIBGE: 4200507
Nome: Águas de Lindóia, EstadoID: 25, CodigoIBGE: 3500501
Nome: Águas de Santa Bárbara, EstadoID: 25, CodigoIBGE: 3500550
Nome: Águas de São Pedro, EstadoID: 25, CodigoIBGE: 3500600
Nome: Águas Formosas, EstadoID: 13, CodigoIBGE: 3100906
Nome: Águas Frias, EstadoID: 24, CodigoIBGE: 4200556
Nome: Águas Lindas de Goiás, EstadoID: 9, CodigoIBGE: 5200258
Nome: Águas Mornas, EstadoID: 24, CodigoIBGE: 4200606
Nome: Águas Vermelhas, EstadoID: 13, CodigoIBGE: 3101003
Nome: Agudo, EstadoID: 21, CodigoIBGE: 4300109
Nome: Agudos, EstadoID: 25, CodigoIBGE: 3500709
Nome: Agudos do Sul, EstadoID: 16, CodigoIBGE: 4100301
Nome: Águia Branca, EstadoID: 8, CodigoIBGE: 3200136
Nome: Aguiar, EstadoID: 15, CodigoIBGE: 2500205
Nome: Aguiarnópolis, EstadoID: 27, CodigoIBGE: 1700301
Nome: Aimorés, EstadoID: 13, CodigoIBGE: 3101102
Nome: Aiquara, EstadoID: 5, CodigoIBGE: 2900603
Nome: Aiuaba, EstadoID: 6, CodigoIBGE: 2300408
Nome: Aiuruoca, EstadoID: 13, CodigoIBGE: 3101201
Nome: Ajuricaba, EstadoID: 21, CodigoIBGE: 4300208
Nome: Alagoa, EstadoID: 13, CodigoIBGE: 3101300
Nome: Alagoa Grande, EstadoID: 15, CodigoIBGE: 2500304
Nome: Alagoa Nova, EstadoID: 15, CodigoIBGE: 2500403
Nome: Alagoinha, EstadoID: 15, CodigoIBGE: 2500502
Nome: Alagoinha, EstadoID: 17, CodigoIBGE: 2600609
Nome: Alagoinha do Piauí, EstadoID: 18, CodigoIBGE: 2200251
Nome: Alagoinhas, EstadoID: 5, CodigoIBGE: 2900702
Nome: Alambari, EstadoID: 25, CodigoIBGE: 3500758
Nome: Albertina, EstadoID: 13, CodigoIBGE: 3101409
Nome: Alcântara, EstadoID: 10, CodigoIBGE: 2100204
Nome: Alcântaras, EstadoID: 6, CodigoIBGE: 2300507
Nome: Alcantil, EstadoID: 15, CodigoIBGE: 2500536
Nome: Alcinópolis, EstadoID: 12, CodigoIBGE: 5000252
Nome: Alcobaça, EstadoID: 5, CodigoIBGE: 2900801
Nome: Aldeias Altas, EstadoID: 10, CodigoIBGE: 2100303
Nome: Alecrim, EstadoID: 21, CodigoIBGE: 4300307
Nome: Alegre, EstadoID: 8, CodigoIBGE: 3200201
Nome: Alegrete, EstadoID: 21, CodigoIBGE: 4300406
Nome: Alegrete do Piauí, EstadoID: 18, CodigoIBGE: 2200277
Nome: Alegria, EstadoID: 21, CodigoIBGE: 4300455
Nome: Além Paraíba, EstadoID: 13, CodigoIBGE: 3101508
Nome: Alenquer, EstadoID: 14, CodigoIBGE: 1500404
Nome: Alexandria, EstadoID: 20, CodigoIBGE: 2400505
Nome: Alexânia, EstadoID: 9, CodigoIBGE: 5200308
Nome: Alfenas, EstadoID: 13, CodigoIBGE: 3101607
Nome: Alfredo Chaves, EstadoID: 8, CodigoIBGE: 3200300
Nome: Alfredo Marcondes, EstadoID: 25, CodigoIBGE: 3500808
Nome: Alfredo Vasconcelos, EstadoID: 13, CodigoIBGE: 3101631
Nome: Alfredo Wagner, EstadoID: 24, CodigoIBGE: 4200705
Nome: Algodão de Jandaíra, EstadoID: 15, CodigoIBGE: 2500577
Nome: Alhandra, EstadoID: 15, CodigoIBGE: 2500601
Nome: Aliança, EstadoID: 17, CodigoIBGE: 2600708
Nome: Aliança do Tocantins, EstadoID: 27, CodigoIBGE: 1700350
Nome: Almadina, EstadoID: 5, CodigoIBGE: 2900900
Nome: Almas, EstadoID: 27, CodigoIBGE: 1700400
Nome: Almeirim, EstadoID: 14, CodigoIBGE: 1500503
Nome: Almenara, EstadoID: 13, CodigoIBGE: 3101706
Nome: Almino Afonso, EstadoID: 20, CodigoIBGE: 2400604
Nome: Almirante Tamandaré, EstadoID: 16, CodigoIBGE: 4100400
Nome: Almirante Tamandaré do Sul, EstadoID: 21, CodigoIBGE: 4300471
Nome: Aloândia, EstadoID: 9, CodigoIBGE: 5200506
Nome: Alpercata, EstadoID: 13, CodigoIBGE: 3101805
Nome: Alpestre, EstadoID: 21, CodigoIBGE: 4300505
Nome: Alpinópolis, EstadoID: 13, CodigoIBGE: 3101904
Nome: Alta Floresta, EstadoID: 11, CodigoIBGE: 5100250
Nome: Alta Floresta D'Oeste, EstadoID: 22, CodigoIBGE: 1100015
Nome: Altair, EstadoID: 25, CodigoIBGE: 3500907
Nome: Altamira, EstadoID: 14, CodigoIBGE: 1500602
Nome: Altamira do Maranhão, EstadoID: 10, CodigoIBGE: 2100402
Nome: Altamira do Paraná, EstadoID: 16, CodigoIBGE: 4100459
Nome: Altaneira, EstadoID: 6, CodigoIBGE: 2300606
Nome: Alterosa, EstadoID: 13, CodigoIBGE: 3102001
Nome: Altinho, EstadoID: 17, CodigoIBGE: 2600807
Nome: Altinópolis, EstadoID: 25, CodigoIBGE: 3501004
Nome: Alto Alegre, EstadoID: 23, CodigoIBGE: 1400050
Nome: Alto Alegre, EstadoID: 25, CodigoIBGE: 3501103
Nome: Alto Alegre, EstadoID: 21, CodigoIBGE: 4300554
Nome: Alto Alegre do Maranhão, EstadoID: 10, CodigoIBGE: 2100436
Nome: Alto Alegre do Pindaré, EstadoID: 10, CodigoIBGE: 2100477
Nome: Alto Alegre dos Parecis, EstadoID: 22, CodigoIBGE: 1100379
Nome: Alto Araguaia, EstadoID: 11, CodigoIBGE: 5100300
Nome: Alto Bela Vista, EstadoID: 24, CodigoIBGE: 4200754
Nome: Alto Boa Vista, EstadoID: 11, CodigoIBGE: 5100359
Nome: Alto Caparaó, EstadoID: 13, CodigoIBGE: 3102050
Nome: Alto do Rodrigues, EstadoID: 20, CodigoIBGE: 2400703
Nome: Alto Feliz, EstadoID: 21, CodigoIBGE: 4300570
Nome: Alto Garças, EstadoID: 11, CodigoIBGE: 5100409
Nome: Alto Horizonte, EstadoID: 9, CodigoIBGE: 5200555
Nome: Alto Jequitibá, EstadoID: 13, CodigoIBGE: 3153509
Nome: Alto Longá, EstadoID: 18, CodigoIBGE: 2200301
Nome: Alto Paraguai, EstadoID: 11, CodigoIBGE: 5100508
Nome: Alto Paraíso, EstadoID: 22, CodigoIBGE: 1100403
Nome: Alto Paraíso, EstadoID: 16, CodigoIBGE: 4128625
Nome: Alto Paraíso de Goiás, EstadoID: 9, CodigoIBGE: 5200605
Nome: Alto Paraná, EstadoID: 16, CodigoIBGE: 4100608
Nome: Alto Parnaíba, EstadoID: 10, CodigoIBGE: 2100501
Nome: Alto Piquiri, EstadoID: 16, CodigoIBGE: 4100707
Nome: Alto Rio Doce, EstadoID: 13, CodigoIBGE: 3102100
Nome: Alto Rio Novo, EstadoID: 8, CodigoIBGE: 3200359
Nome: Alto Santo, EstadoID: 6, CodigoIBGE: 2300705
Nome: Alto Taquari, EstadoID: 11, CodigoIBGE: 5100607
Nome: Altônia, EstadoID: 16, CodigoIBGE: 4100509
Nome: Altos, EstadoID: 18, CodigoIBGE: 2200400
Nome: Alumínio, EstadoID: 25, CodigoIBGE: 3501152
Nome: Alvarães, EstadoID: 4, CodigoIBGE: 1300029
Nome: Alvarenga, EstadoID: 13, CodigoIBGE: 3102209
Nome: Álvares Florence, EstadoID: 25, CodigoIBGE: 3501202
Nome: Álvares Machado, EstadoID: 25, CodigoIBGE: 3501301
Nome: Álvaro de Carvalho, EstadoID: 25, CodigoIBGE: 3501400
Nome: Alvinlândia, EstadoID: 25, CodigoIBGE: 3501509
Nome: Alvinópolis, EstadoID: 13, CodigoIBGE: 3102308
Nome: Alvorada, EstadoID: 27, CodigoIBGE: 1700707
Nome: Alvorada, EstadoID: 21, CodigoIBGE: 4300604
Nome: Alvorada D'Oeste, EstadoID: 22, CodigoIBGE: 1100346
Nome: Alvorada de Minas, EstadoID: 13, CodigoIBGE: 3102407
Nome: Alvorada do Gurguéia, EstadoID: 18, CodigoIBGE: 2200459
Nome: Alvorada do Norte, EstadoID: 9, CodigoIBGE: 5200803
Nome: Alvorada do Sul, EstadoID: 16, CodigoIBGE: 4100806
Nome: Amajari, EstadoID: 23, CodigoIBGE: 1400027
Nome: Amambai, EstadoID: 12, CodigoIBGE: 5000609
Nome: Amapá, EstadoID: 3, CodigoIBGE: 1600105
Nome: Amapá do Maranhão, EstadoID: 10, CodigoIBGE: 2100550
Nome: Amaporã, EstadoID: 16, CodigoIBGE: 4100905
Nome: Amaraji, EstadoID: 17, CodigoIBGE: 2600906
Nome: Amaral Ferrador, EstadoID: 21, CodigoIBGE: 4300638
Nome: Amaralina, EstadoID: 9, CodigoIBGE: 5200829
Nome: Amarante, EstadoID: 18, CodigoIBGE: 2200509
Nome: Amarante do Maranhão, EstadoID: 10, CodigoIBGE: 2100600
Nome: Amargosa, EstadoID: 5, CodigoIBGE: 2901007
Nome: Amaturá, EstadoID: 4, CodigoIBGE: 1300060
Nome: Amélia Rodrigues, EstadoID: 5, CodigoIBGE: 2901106
Nome: América Dourada, EstadoID: 5, CodigoIBGE: 2901155
Nome: Americana, EstadoID: 25, CodigoIBGE: 3501608
Nome: Americano do Brasil, EstadoID: 9, CodigoIBGE: 5200852
Nome: Américo Brasiliense, EstadoID: 25, CodigoIBGE: 3501707
Nome: Américo de Campos, EstadoID: 25, CodigoIBGE: 3501806
Nome: Ametista do Sul, EstadoID: 21, CodigoIBGE: 4300646
Nome: Amontada, EstadoID: 6, CodigoIBGE: 2300754
Nome: Amorinópolis, EstadoID: 9, CodigoIBGE: 5200902
Nome: Amparo, EstadoID: 15, CodigoIBGE: 2500734
Nome: Amparo, EstadoID: 25, CodigoIBGE: 3501905
Nome: Amparo do São Francisco, EstadoID: 26, CodigoIBGE: 2800100
Nome: Amparo do Serra, EstadoID: 13, CodigoIBGE: 3102506
Nome: Ampére, EstadoID: 16, CodigoIBGE: 4101002
Nome: Anadia, EstadoID: 2, CodigoIBGE: 2700201
Nome: Anagé, EstadoID: 5, CodigoIBGE: 2901205
Nome: Anahy, EstadoID: 16, CodigoIBGE: 4101051
Nome: Anajás, EstadoID: 14, CodigoIBGE: 1500701
Nome: Anajatuba, EstadoID: 10, CodigoIBGE: 2100709
Nome: Analândia, EstadoID: 25, CodigoIBGE: 3502002
Nome: Anamã, EstadoID: 4, CodigoIBGE: 1300086
Nome: Ananás, EstadoID: 27, CodigoIBGE: 1701002
Nome: Ananindeua, EstadoID: 14, CodigoIBGE: 1500800
Nome: Anápolis, EstadoID: 9, CodigoIBGE: 5201108
Nome: Anapu, EstadoID: 14, CodigoIBGE: 1500859
Nome: Anapurus, EstadoID: 10, CodigoIBGE: 2100808
Nome: Anastácio, EstadoID: 12, CodigoIBGE: 5000708
Nome: Anaurilândia, EstadoID: 12, CodigoIBGE: 5000807
Nome: Anchieta, EstadoID: 8, CodigoIBGE: 3200409
Nome: Anchieta, EstadoID: 24, CodigoIBGE: 4200804
Nome: Andaraí, EstadoID: 5, CodigoIBGE: 2901304
Nome: Andirá, EstadoID: 16, CodigoIBGE: 4101101
Nome: Andorinha, EstadoID: 5, CodigoIBGE: 2901353
Nome: Andradas, EstadoID: 13, CodigoIBGE: 3102605
Nome: Andradina, EstadoID: 25, CodigoIBGE: 3502101
Nome: André da Rocha, EstadoID: 21, CodigoIBGE: 4300661
Nome: Andrelândia, EstadoID: 13, CodigoIBGE: 3102803
Nome: Angatuba, EstadoID: 25, CodigoIBGE: 3502200
Nome: Angelândia, EstadoID: 13, CodigoIBGE: 3102852
Nome: Angélica, EstadoID: 12, CodigoIBGE: 5000856
Nome: Angelim, EstadoID: 17, CodigoIBGE: 2601003
Nome: Angelina, EstadoID: 24, CodigoIBGE: 4200903
Nome: Angical, EstadoID: 5, CodigoIBGE: 2901403
Nome: Angical do Piauí, EstadoID: 18, CodigoIBGE: 2200608
Nome: Angico, EstadoID: 27, CodigoIBGE: 1701051
Nome: Angicos, EstadoID: 20, CodigoIBGE: 2400802
Nome: Angra dos Reis, EstadoID: 19, CodigoIBGE: 3300100
Nome: Anguera, EstadoID: 5, CodigoIBGE: 2901502
Nome: Ângulo, EstadoID: 16, CodigoIBGE: 4101150
Nome: Anhanguera, EstadoID: 9, CodigoIBGE: 5201207
Nome: Anhembi, EstadoID: 25, CodigoIBGE: 3502309
Nome: Anhumas, EstadoID: 25, CodigoIBGE: 3502408
Nome: Anicuns, EstadoID: 9, CodigoIBGE: 5201306
Nome: Anísio de Abreu, EstadoID: 18, CodigoIBGE: 2200707
Nome: Anita Garibaldi, EstadoID: 24, CodigoIBGE: 4201000
Nome: Anitápolis, EstadoID: 24, CodigoIBGE: 4201109
Nome: Anori, EstadoID: 4, CodigoIBGE: 1300102
Nome: Anta Gorda, EstadoID: 21, CodigoIBGE: 4300703
Nome: Antas, EstadoID: 5, CodigoIBGE: 2901601
Nome: Antonina, EstadoID: 16, CodigoIBGE: 4101200
Nome: Antonina do Norte, EstadoID: 6, CodigoIBGE: 2300804
Nome: Antônio Almeida, EstadoID: 18, CodigoIBGE: 2200806
Nome: Antônio Cardoso, EstadoID: 5, CodigoIBGE: 2901700
Nome: Antônio Carlos, EstadoID: 13, CodigoIBGE: 3102902
Nome: Antônio Carlos, EstadoID: 24, CodigoIBGE: 4201208
Nome: Antônio Dias, EstadoID: 13, CodigoIBGE: 3103009
Nome: Antônio Gonçalves, EstadoID: 5, CodigoIBGE: 2901809
Nome: Antônio João, EstadoID: 12, CodigoIBGE: 5000906
Nome: Antônio Martins, EstadoID: 20, CodigoIBGE: 2400901
Nome: Antônio Olinto, EstadoID: 16, CodigoIBGE: 4101309
Nome: Antônio Prado, EstadoID: 21, CodigoIBGE: 4300802
Nome: Antônio Prado de Minas, EstadoID: 13, CodigoIBGE: 3103108
Nome: Aparecida, EstadoID: 15, CodigoIBGE: 2500775
Nome: Aparecida, EstadoID: 25, CodigoIBGE: 3502507
Nome: Aparecida d'Oeste, EstadoID: 25, CodigoIBGE: 3502606
Nome: Aparecida de Goiânia, EstadoID: 9, CodigoIBGE: 5201405
Nome: Aparecida do Rio Doce, EstadoID: 9, CodigoIBGE: 5201454
Nome: Aparecida do Rio Negro, EstadoID: 27, CodigoIBGE: 1701101
Nome: Aparecida do Taboado, EstadoID: 12, CodigoIBGE: 5001003
Nome: Aperibé, EstadoID: 19, CodigoIBGE: 3300159
Nome: Apiacá, EstadoID: 8, CodigoIBGE: 3200508
Nome: Apiacás, EstadoID: 11, CodigoIBGE: 5100805
